,number,value,datetime_start,datetime_complete,duration,params_dropout,params_embed_dim,params_l1,params_l2,params_lstm_out,state
0,0,0.528701901435852,2024-04-14 06:22:02.259752,2024-04-14 06:22:23.719753,0 days 00:00:21.460001,0.0718652765358538,224,0.016096702090676606,0.051705022339537124,44,COMPLETE
1,1,0.47749510407447815,2024-04-14 06:22:23.722781,2024-04-14 06:22:45.101782,0 days 00:00:21.379001,0.3032074530050472,64,0.03843411112577547,0.03701549052094995,24,COMPLETE
2,2,0.38388779759407043,2024-04-14 06:22:45.103752,2024-04-14 06:23:08.897750,0 days 00:00:23.793998,0.03754998099807709,240,0.08149651369065221,0.039321369496328896,20,COMPLETE
3,3,0.47031962871551514,2024-04-14 06:23:08.899792,2024-04-14 06:23:15.608751,0 days 00:00:06.708959,0.11993251904890365,80,0.04005409045462232,0.05119667357190564,40,PRUNED
4,4,0.4187867045402527,2024-04-14 06:23:15.611756,2024-04-14 06:23:22.351791,0 days 00:00:06.740035,0.22692705600775978,208,0.0403945278246923,0.0545170931359407,8,PRUNED
5,5,0.4083496332168579,2024-04-14 06:23:22.353756,2024-04-14 06:23:42.944751,0 days 00:00:20.590995,0.22446485750879824,64,0.0925015207757523,0.042105864377587135,16,COMPLETE
6,6,0.4191128611564636,2024-04-14 06:23:42.946752,2024-04-14 06:23:47.979749,0 days 00:00:05.032997,0.137328775537661,144,0.06834630905239795,0.03505283900157776,40,PRUNED
7,7,0.4073711633682251,2024-04-14 06:23:47.981749,2024-04-14 06:23:52.986796,0 days 00:00:05.005047,0.015571161450763914,208,0.055319183532300566,0.07761974646750854,40,PRUNED
8,8,0.44748857617378235,2024-04-14 06:23:52.989755,2024-04-14 06:23:58.276794,0 days 00:00:05.287039,0.15742031950028768,128,0.05925328939111068,0.007554865406628764,52,PRUNED
9,9,0.4073711633682251,2024-04-14 06:23:58.278750,2024-04-14 06:24:04.005796,0 days 00:00:05.727046,0.3748876136742396,128,0.027418146608979756,0.052258893919369775,48,PRUNED
10,10,0.4073711633682251,2024-04-14 06:24:04.007752,2024-04-14 06:24:09.631795,0 days 00:00:05.624043,0.5555777736434503,256,0.0009292779275709272,0.0981194583479906,56,PRUNED
11,11,0.4073711633682251,2024-04-14 06:24:09.633756,2024-04-14 06:24:13.880754,0 days 00:00:04.246998,0.3921240114711377,16,0.011753475418884385,0.018271675969654764,28,PRUNED
12,12,0.38388779759407043,2024-04-14 06:24:13.882751,2024-04-14 06:24:18.747749,0 days 00:00:04.864998,0.3382839883199752,176,0.020836944688013392,0.07036034224329937,28,PRUNED
13,13,0.43607306480407715,2024-04-14 06:24:18.749753,2024-04-14 06:24:23.291796,0 days 00:00:04.542043,0.448141311731015,64,0.03334166413225695,0.022104014767708347,4,PRUNED
14,14,0.38388779759407043,2024-04-14 06:24:23.293752,2024-04-14 06:24:29.277747,0 days 00:00:05.983995,0.2691702260501699,16,0.014888523678697418,0.0654411708334565,64,PRUNED
15,15,0.4073711633682251,2024-04-14 06:24:29.279751,2024-04-14 06:24:33.947783,0 days 00:00:04.668032,0.44965857305728507,112,0.00219244783631372,0.026857059339299313,28,PRUNED
16,16,0.4823874831199646,2024-04-14 06:24:33.948751,2024-04-14 06:24:55.198792,0 days 00:00:21.250041,0.28383965253394977,176,0.04680356221383044,0.00037098718883009363,16,COMPLETE
17,17,0.40867578983306885,2024-04-14 06:24:55.201759,2024-04-14 06:25:00.121795,0 days 00:00:04.920036,0.07083571180952192,176,0.06989552345143733,0.003265079263952378,12,PRUNED
18,18,0.4073711633682251,2024-04-14 06:25:00.124759,2024-04-14 06:25:05.717796,0 days 00:00:05.593037,0.5584537307502766,208,0.048814002608183665,0.07926230895550422,36,PRUNED
19,19,0.4073711633682251,2024-04-14 06:25:05.718786,2024-04-14 06:25:11.052748,0 days 00:00:05.333962,0.1953768230586245,176,0.02541782837308218,0.09480299030109438,48,PRUNED
20,20,0.4073711633682251,2024-04-14 06:25:11.054750,2024-04-14 06:25:17.645794,0 days 00:00:06.591044,0.07094901689669554,240,0.05019698827617273,0.012338269477701926,64,PRUNED
21,21,0.4073711633682251,2024-04-14 06:25:17.647757,2024-04-14 06:25:22.325794,0 days 00:00:04.678037,0.2797834263499724,160,0.037991395199234876,0.027495655527799853,20,PRUNED
22,22,0.38388779759407043,2024-04-14 06:25:22.328754,2024-04-14 06:25:27.194758,0 days 00:00:04.866004,0.3191734202514681,96,0.013585898553759392,0.06575495920440089,24,PRUNED
23,23,0.4073711633682251,2024-04-14 06:25:27.196750,2024-04-14 06:25:32.064795,0 days 00:00:04.868045,0.48551168388030097,208,0.04582778708824965,0.04380423658077925,16,PRUNED
24,24,0.4073711633682251,2024-04-14 06:25:32.067763,2024-04-14 06:25:36.846796,0 days 00:00:04.779033,0.37957205439658487,48,0.0301238535544305,0.059883580038857714,36,PRUNED
25,25,0.41943901777267456,2024-04-14 06:25:36.848757,2024-04-14 06:25:41.841794,0 days 00:00:04.993037,0.23684310682318033,224,0.06564809618575686,0.03064520540886852,32,PRUNED
26,26,0.5603392124176025,2024-04-14 06:25:41.844755,2024-04-14 06:26:01.494756,0 days 00:00:19.650001,0.18305334034533263,160,0.021297729126140613,0.015419845122152526,12,COMPLETE
27,27,0.4073711633682251,2024-04-14 06:26:01.497759,2024-04-14 06:26:05.793782,0 days 00:00:04.296023,0.17245309514931154,160,0.01918322908526076,0.000984539901934341,12,PRUNED
28,28,0.46771037578582764,2024-04-14 06:26:05.796754,2024-04-14 06:26:10.459786,0 days 00:00:04.663032,0.09890324271763272,192,0.0099827170308673,0.014830589739806173,4,PRUNED
29,29,0.38388779759407043,2024-04-14 06:26:10.461751,2024-04-14 06:26:15.323797,0 days 00:00:04.862046,0.18676164320645364,144,0.02126178929846164,0.008343532579626518,8,PRUNED
30,30,0.5476190447807312,2024-04-14 06:26:15.326754,2024-04-14 06:26:38.955779,0 days 00:00:23.629025,0.0873353180413301,256,0.0074487339660561005,0.02088849873404718,44,COMPLETE
31,31,0.5750163197517395,2024-04-14 06:26:38.957751,2024-04-14 06:26:57.826753,0 days 00:00:18.869002,0.09030105211528514,256,0.00262893542371722,0.01974278993960512,44,COMPLETE
32,32,0.4119373857975006,2024-04-14 06:26:57.828750,2024-04-14 06:27:02.347779,0 days 00:00:04.519029,0.07826171013419131,256,0.0065537706729936075,0.021762031992631797,44,PRUNED
33,33,0.4073711633682251,2024-04-14 06:27:02.350758,2024-04-14 06:27:07.962796,0 days 00:00:05.612038,0.001896430009856176,240,0.005378291930861326,0.03525571818256748,52,PRUNED
34,34,0.3891063332557678,2024-04-14 06:27:07.963751,2024-04-14 06:27:12.254751,0 days 00:00:04.291000,0.03484775922306243,256,9.180407633674337e-06,0.02113421451588647,44,PRUNED
35,35,0.43444228172302246,2024-04-14 06:27:12.255751,2024-04-14 06:27:18.055781,0 days 00:00:05.800030,0.11682034481154972,224,0.017115494457344768,0.04738777417442562,56,PRUNED
36,36,0.5192432999610901,2024-04-14 06:27:18.057751,2024-04-14 06:27:29.411791,0 days 00:00:11.354040,0.049533731775912776,240,0.008472885867952779,0.03758721011853818,44,PRUNED
37,37,0.38584473729133606,2024-04-14 06:27:29.414754,2024-04-14 06:27:34.305790,0 days 00:00:04.891036,0.14634262495226402,224,0.02243099802620719,0.031258981624115084,32,PRUNED
38,38,0.4931506812572479,2024-04-14 06:27:34.307753,2024-04-14 06:27:39.467806,0 days 00:00:05.160053,0.1022691149024123,256,0.0917474709273617,0.012653078588527713,40,PRUNED
39,39,0.38388779759407043,2024-04-14 06:27:39.469757,2024-04-14 06:27:45.370796,0 days 00:00:05.901039,0.21524692311884502,240,0.032581901131915794,0.04368461164011779,48,PRUNED
40,40,0.4579256474971771,2024-04-14 06:27:45.372756,2024-04-14 06:27:50.783793,0 days 00:00:05.411037,0.13536619241879147,192,0.0063274631814833,0.05670495392275068,56,PRUNED
41,41,0.4073711633682251,2024-04-14 06:27:50.785793,2024-04-14 06:27:55.976795,0 days 00:00:05.191002,0.03766337060259628,192,0.07512239266141407,0.006339496346074124,20,PRUNED
42,42,0.5071754455566406,2024-04-14 06:27:55.979749,2024-04-14 06:28:07.047792,0 days 00:00:11.068043,0.23840900218087427,224,0.014285526407980354,0.00010729525983779666,36,PRUNED
43,43,0.38649705052375793,2024-04-14 06:28:07.050750,2024-04-14 06:28:12.646797,0 days 00:00:05.596047,0.09744955344414022,160,0.041298435374199985,0.015521002951405178,52,PRUNED
44,44,0.40867578983306885,2024-04-14 06:28:12.648752,2024-04-14 06:28:17.734796,0 days 00:00:05.086044,0.15806804008053754,208,0.026066316883967714,0.007514243698009145,44,PRUNED
45,45,0.42889758944511414,2024-04-14 06:28:17.737755,2024-04-14 06:28:22.494795,0 days 00:00:04.757040,0.26654137395376554,144,0.08657448028450868,0.02494109390880414,16,PRUNED
46,46,0.42628833651542664,2024-04-14 06:28:22.496755,2024-04-14 06:28:28.490793,0 days 00:00:05.994038,0.2025181777825613,256,0.0565817287899382,0.01169956528941818,8,PRUNED
47,47,0.4073711633682251,2024-04-14 06:28:28.492757,2024-04-14 06:28:33.620747,0 days 00:00:05.127990,0.12883510462069728,112,0.0986214974794957,0.019262100119887597,40,PRUNED
48,48,0.4073711633682251,2024-04-14 06:28:33.622750,2024-04-14 06:28:38.702798,0 days 00:00:05.080048,0.05564518270656144,240,0.012102659311678704,0.048789495886007644,24,PRUNED
49,49,0.5792563557624817,2024-04-14 06:28:38.704795,2024-04-14 06:29:03.463754,0 days 00:00:24.758959,0.17016698486801965,176,0.004735583753630079,0.005129955132906927,48,COMPLETE
