,number,value,datetime_start,datetime_complete,duration,params_dropout,params_embed_dim,params_l1,params_l2,params_learning_rate,params_lstm_out,state
0,0,0.523809552192688,2024-04-14 06:41:45.526127,2024-04-14 06:42:35.725142,0 days 00:00:50.199015,0.08434682412723192,195,0.004510955868777811,0.01159776560872047,0.00020800192487348978,55,COMPLETE
1,1,0.5544683337211609,2024-04-14 06:42:35.728106,2024-04-14 06:43:25.355149,0 days 00:00:49.627043,0.07302673116962087,210,0.004382546043889973,0.010860694462876505,0.00025793991424313156,55,COMPLETE
2,2,0.2583170235157013,2024-04-14 06:43:25.357106,2024-04-14 06:43:31.983148,0 days 00:00:06.626042,0.14922686267570648,195,0.005280574736204198,0.007992905593086377,1.4001894581262973e-05,65,PRUNED
3,3,0.3235485851764679,2024-04-14 06:43:31.986156,2024-04-14 06:43:38.852140,0 days 00:00:06.865984,0.007891544618958602,205,0.003375943029381968,0.011292294184422635,1.80838128830732e-05,60,PRUNED
4,4,0.43607306480407715,2024-04-14 06:43:38.855103,2024-04-14 06:43:49.067101,0 days 00:00:10.211998,0.024106747070083277,215,0.0038456234255049497,0.009762109614648212,0.00010297320804488003,50,PRUNED
5,5,0.42009133100509644,2024-04-14 06:43:49.070103,2024-04-14 06:43:59.626143,0 days 00:00:10.556040,0.08095818797354355,190,0.004444981619467982,0.008466597147812512,4.952240956353237e-05,50,PRUNED
6,6,0.38388779759407043,2024-04-14 06:43:59.628100,2024-04-14 06:44:05.577146,0 days 00:00:05.949046,0.028612539139920914,195,0.004443337001055095,0.007069556018236719,0.02343264985911517,50,PRUNED
7,7,0.4973907470703125,2024-04-14 06:44:05.579108,2024-04-14 06:44:25.139099,0 days 00:00:19.559991,0.0021055464197328954,215,0.004695047579152289,0.011336724663263496,0.01830929595080535,65,COMPLETE
8,8,0.4073711633682251,2024-04-14 06:44:25.143102,2024-04-14 06:44:30.781096,0 days 00:00:05.637994,0.10690839478241311,220,0.004610624989308361,0.009936256951728235,0.0076518655691193635,55,PRUNED
9,9,0.39204174280166626,2024-04-14 06:44:30.783098,2024-04-14 06:44:36.985141,0 days 00:00:06.202043,0.10509544298257191,200,0.004263618766467412,0.011353102351832251,0.001189649874120128,65,PRUNED
10,10,0.48793214559555054,2024-04-14 06:44:36.987113,2024-04-14 06:44:53.630099,0 days 00:00:16.642986,0.04824231213322351,210,0.00647981189214698,0.010505500211640841,0.0007866928419619822,70,PRUNED
11,11,0.5097847580909729,2024-04-14 06:44:53.632099,2024-04-14 06:45:29.903110,0 days 00:00:36.271011,0.0702440173992477,205,0.005593162001421628,0.011966436448059736,0.00041567565069301207,55,COMPLETE
12,12,0.4073711633682251,2024-04-14 06:45:29.906099,2024-04-14 06:45:36.137131,0 days 00:00:06.231032,0.08127222893004829,200,0.0031503542709742445,0.010577014725397703,0.00018850693813598026,55,PRUNED
13,13,0.4073711633682251,2024-04-14 06:45:36.139101,2024-04-14 06:45:42.659143,0 days 00:00:06.520042,0.11420642872333558,190,0.0059165672231905105,0.011966272262465043,0.002767730952068793,60,PRUNED
14,14,0.4073711633682251,2024-04-14 06:45:42.662107,2024-04-14 06:45:47.270157,0 days 00:00:04.608050,0.05992378695981662,210,0.0037394811506996782,0.010516350576721602,0.00019355278228577548,55,PRUNED
15,15,0.4416177570819855,2024-04-14 06:45:47.272105,2024-04-14 06:45:56.445142,0 days 00:00:09.173037,0.09377222017386265,200,0.005055965103447158,0.009067145303323587,0.07024713312796518,60,PRUNED
16,16,0.40247881412506104,2024-04-14 06:45:56.447101,2024-04-14 06:46:01.116110,0 days 00:00:04.669009,0.1338896814815002,210,0.0069221439100451716,0.010934427353381227,5.100974231302876e-05,55,PRUNED
17,17,0.4073711633682251,2024-04-14 06:46:01.118101,2024-04-14 06:46:05.776099,0 days 00:00:04.657998,0.04892043453374383,195,0.004106587837108409,0.009259620616968093,0.0022654073563222114,50,PRUNED
18,18,0.4073711633682251,2024-04-14 06:46:05.778101,2024-04-14 06:46:10.450141,0 days 00:00:04.672040,0.12503653320250085,205,0.0054889687772208375,0.010102711057686113,0.0004891220482483547,55,PRUNED
19,19,0.4063926935195923,2024-04-14 06:46:10.452105,2024-04-14 06:46:17.005095,0 days 00:00:06.552990,0.062038286141950116,220,0.004851562344013869,0.011528741635560813,3.899606800628657e-05,60,PRUNED
20,20,0.4073711633682251,2024-04-14 06:46:17.007098,2024-04-14 06:46:23.469142,0 days 00:00:06.462044,0.09237230608183575,215,0.003715370700609819,0.010777312974034664,0.0002539357347072402,60,PRUNED
21,21,0.4073711633682251,2024-04-14 06:46:23.471102,2024-04-14 06:46:28.733130,0 days 00:00:05.262028,0.06565596300076693,205,0.005796066740340819,0.011674805470208178,0.0004478114909009369,55,PRUNED
22,22,0.5026092529296875,2024-04-14 06:46:28.736104,2024-04-14 06:46:47.423145,0 days 00:00:18.687041,0.07667927179992243,210,0.005927532025535224,0.011922162078651781,0.00013617939373095054,55,PRUNED
23,23,0.4419439136981964,2024-04-14 06:46:47.426107,2024-04-14 06:46:55.768113,0 days 00:00:08.342006,0.09329287863661527,200,0.005314964845128,0.011017762154961539,0.0013650815589931484,50,PRUNED
24,24,0.5508806109428406,2024-04-14 06:46:55.770103,2024-04-14 06:47:30.876100,0 days 00:00:35.105997,0.0718579189112329,205,0.00627282180757779,0.011942021925557687,0.0004784497642303671,55,COMPLETE
25,25,0.4416177570819855,2024-04-14 06:47:30.878101,2024-04-14 06:47:43.876145,0 days 00:00:12.998044,0.04804844460556576,195,0.00503985409075846,0.010234335785519598,8.615357518389872e-05,60,PRUNED
