,number,value,datetime_start,datetime_complete,duration,params_beta1,params_learning_rate,state
0,0,0.5591397881507874,2024-04-14 07:49:49.478426,2024-04-14 07:50:22.738379,0 days 00:00:33.259953,0.9443623585865634,0.06799169380948811,COMPLETE
1,1,0.602150559425354,2024-04-14 07:50:22.741423,2024-04-14 07:50:56.212405,0 days 00:00:33.470982,0.9878168256338388,0.0052763532332524956,COMPLETE
2,2,0.6172043085098267,2024-04-14 07:50:56.214379,2024-04-14 07:51:29.001377,0 days 00:00:32.786998,0.9245230677938587,0.0019836882466623953,COMPLETE
3,3,0.522580623626709,2024-04-14 07:51:29.003408,2024-04-14 07:51:41.268419,0 days 00:00:12.265011,0.9960269658803919,0.042716921630909566,PRUNED
4,4,0.6215053796768188,2024-04-14 07:51:41.270427,2024-04-14 07:52:15.394385,0 days 00:00:34.123958,0.9491555369395157,0.006097295904944688,COMPLETE
5,5,0.41505375504493713,2024-04-14 07:52:15.396408,2024-04-14 07:52:27.593380,0 days 00:00:12.196972,0.9448730233595203,0.1479949219793847,PRUNED
6,6,0.5161290168762207,2024-04-14 07:52:27.596419,2024-04-14 07:52:39.596427,0 days 00:00:12.000008,0.989209315858109,0.07260532512213083,PRUNED
7,7,0.32043009996414185,2024-04-14 07:52:39.598422,2024-04-14 07:52:51.198420,0 days 00:00:11.599998,0.9871123781496554,0.21095249243267966,PRUNED
8,8,0.6236559152603149,2024-04-14 07:52:51.200419,2024-04-14 07:53:24.500419,0 days 00:00:33.300000,0.9231624838316728,0.002306599683777887,COMPLETE
9,9,0.5849462151527405,2024-04-14 07:53:24.502421,2024-04-14 07:53:35.809419,0 days 00:00:11.306998,0.96382244659594,0.0019362990071632212,PRUNED
10,10,0.6150537729263306,2024-04-14 07:53:35.811421,2024-04-14 07:54:09.473385,0 days 00:00:33.661964,0.9000137392477332,0.008010148166888902,COMPLETE
11,11,0.5849462151527405,2024-04-14 07:54:09.475380,2024-04-14 07:54:21.379417,0 days 00:00:11.904037,0.9219598790192014,0.0072748862024406774,PRUNED
12,12,0.5720430016517639,2024-04-14 07:54:21.381417,2024-04-14 07:54:43.906409,0 days 00:00:22.524992,0.963424788157778,0.018419338689902125,PRUNED
13,13,0.5806451439857483,2024-04-14 07:54:43.908419,2024-04-14 07:54:55.738421,0 days 00:00:11.830002,0.925455328375489,0.0013272010292862792,PRUNED
14,14,0.5806451439857483,2024-04-14 07:54:55.740426,2024-04-14 07:55:18.147420,0 days 00:00:22.406994,0.9073680581592978,0.004591494660139237,PRUNED
15,15,0.5677419304847717,2024-04-14 07:55:18.149418,2024-04-14 07:55:29.566418,0 days 00:00:11.417000,0.9346451577906052,0.015214350878535544,PRUNED
16,16,0.3354838788509369,2024-04-14 07:55:29.567417,2024-04-14 07:55:41.968405,0 days 00:00:12.400988,0.9630590766102829,0.47508275436774305,PRUNED
17,17,0.5483871102333069,2024-04-14 07:55:41.969419,2024-04-14 07:55:53.805376,0 days 00:00:11.835957,0.9519808637548756,0.0028516988673048848,PRUNED
18,18,0.5354838967323303,2024-04-14 07:55:53.807420,2024-04-14 07:56:05.261393,0 days 00:00:11.453973,0.9751280599248039,0.001099622020752363,PRUNED
19,19,0.5978494882583618,2024-04-14 07:56:05.263404,2024-04-14 07:56:38.447404,0 days 00:00:33.184000,0.9141047582362605,0.0033303820029678033,COMPLETE
20,20,0.6064516305923462,2024-04-14 07:56:38.449416,2024-04-14 07:56:53.046427,0 days 00:00:14.597011,0.9338116747096394,0.008612206184764801,PRUNED
21,21,0.5935483574867249,2024-04-14 07:56:53.048420,2024-04-14 07:57:26.869378,0 days 00:00:33.820958,0.9292815195760659,0.0029114117571686403,COMPLETE
22,22,0.5827956795692444,2024-04-14 07:57:26.871429,2024-04-14 07:57:38.406420,0 days 00:00:11.534991,0.9404862381852233,0.001587542498532263,PRUNED
23,23,0.6172043085098267,2024-04-14 07:57:38.408420,2024-04-14 07:58:11.616377,0 days 00:00:33.207957,0.9166608414764625,0.0022126899598239416,COMPLETE
24,24,0.5849462151527405,2024-04-14 07:58:11.618407,2024-04-14 07:58:23.265399,0 days 00:00:11.646992,0.9103039226791573,0.010808694690941083,PRUNED
25,25,0.5806451439857483,2024-04-14 07:58:23.267418,2024-04-14 07:58:35.043386,0 days 00:00:11.775968,0.9542214253283886,0.004779521769846544,PRUNED
26,26,0.5634408593177795,2024-04-14 07:58:35.045416,2024-04-14 07:58:46.693427,0 days 00:00:11.648011,0.9226945268058343,0.02700787711339729,PRUNED
27,27,0.5935483574867249,2024-04-14 07:58:46.696422,2024-04-14 07:59:20.084379,0 days 00:00:33.387957,0.9366471504620832,0.003994674004848543,COMPLETE
28,28,0.5849462151527405,2024-04-14 07:59:20.086404,2024-04-14 07:59:31.645415,0 days 00:00:11.559011,0.9020510004212912,0.001994749488328298,PRUNED
29,29,0.5913978219032288,2024-04-14 07:59:31.646417,2024-04-14 07:59:44.454379,0 days 00:00:12.807962,0.9467324135555262,0.011787316572484718,PRUNED
